parameter,value,mean_makespan,stddev,seeds
flexibility,0.0,132.4,16.787840210919583,20
flexibility,0.2,79.95,7.4936815490047834,20
flexibility,0.4,55.6,5.679140038680801,20
flexibility,0.6,55.6,5.679140038680801,20
flexibility,0.8,46.8,5.337060101433727,20
flexibility,1.0,39.55,5.4238750955964665,20
bottleneck_probability,0.0,55.6,5.679140038680801,20
bottleneck_probability,0.2,55.3,8.013803880279262,20
bottleneck_probability,0.4,54.15,5.9848492923908765,20
bottleneck_probability,0.6,54.05,6.778254704723427,20
bottleneck_probability,0.8,53.65,7.183863496534585,20
bottleneck_probability,1.0,51.7,5.804716775356509,20
processing_time_noise_scale,0.0,55.6,5.679140038680801,20
processing_time_noise_scale,0.3,53.95,4.989198859852942,20
processing_time_noise_scale,0.6,43.65,5.760802210218917,20
processing_time_noise_scale,1.0,38.35,7.357595431002971,20
processing_time_noise_scale,1.5,35.15,5.976048685773639,20
machine_advantage,0.0,55.6,5.679140038680801,20
machine_advantage,0.2,53.9,5.946250477136168,20
machine_advantage,0.5,47.55,4.4541524091807325,20
machine_advantage,0.8,39.3,6.96683874546147,20
machine_advantage,1.0,34.65,6.784463675812632,20
